bjcd,name,lon,lat
1111010100,청운동,126.96932,37.58921
1111010200,신교동,126.96794,37.58451
1111010300,궁정동,126.97271,37.5847
1111010400,효자동,126.97195,37.58267
1111010500,창성동,126.97247,37.58056
1111010600,통의동,126.97287,37.57808
1111010700,적선동,126.97379,37.57532
1111010800,통인동,126.97022,37.58016
1111010900,누상동,126.96274,37.5804
1111011000,누하동,126.96828,37.57929
1111011100,옥인동,126.96342,37.58354
1111011200,체부동,126.97087,37.57759
1111011300,필운동,126.96815,37.5773
1111011400,내자동,126.97174,37.57531
1111011500,사직동,126.96596,37.57541
1111011600,도렴동,126.97476,37.57312
1111011700,당주동,126.97401,37.57159
1111011800,내수동,126.97197,37.57333
1111011900,세종로,126.97679,37.5803
1111012000,신문로1가,126.97392,37.57019
1111012100,신문로2가,126.96923,37.57086
1111012200,청진동,126.98018,37.57145
1111012300,서린동,126.98042,37.56952
1111012400,수송동,126.98065,37.5737
1111012500,중학동,126.97968,37.57531
1111012600,종로1가,126.97972,37.57043
1111012700,공평동,126.98318,37.57131
1111012800,관훈동,126.98468,37.57416
1111012900,견지동,126.98301,37.57352
1111013000,와룡동,126.99255,37.58171
1111013100,권농동,126.99167,37.5765
1111013200,운니동,126.98824,37.57639
1111013300,익선동,126.98971,37.57435
1111013400,경운동,126.98642,37.5752
1111013500,관철동,126.986,37.56912
1111013600,인사동,126.98607,37.57172
1111013700,낙원동,126.98862,37.57257
1111013800,종로2가,126.98694,37.57046
1111013900,팔판동,126.98073,37.5828
1111014000,삼청동,126.98102,37.59077
1111014100,안국동,126.98363,37.5774
1111014200,소격동,126.98093,37.57962
1111014300,화동,126.98273,37.58069
1111014400,사간동,126.9804,37.57726
1111014500,송현동,126.98187,37.57678
1111014600,가회동,126.98484,37.58268
1111014700,재동,126.98528,37.57833
1111014800,계동,126.98693,37.58235
1111014900,원서동,126.98826,37.58392
1111015000,훈정동,126.9942,37.57438
1111015100,묘동,126.99174,37.57244
1111015200,봉익동,126.993,37.57219
1111015300,돈의동,126.99074,37.57198
1111015400,장사동,126.99404,37.56924
1111015500,관수동,126.99048,37.56908
1111015600,종로3가,126.99235,37.57041
1111015700,인의동,126.99769,37.57234
1111015800,예지동,126.99832,37.56964
1111015900,원남동,126.99754,37.57556
1111016000,연지동,127.00017,37.57375
1111016100,종로4가,126.99795,37.57067
1111016200,효제동,127.00309,37.57305
1111016300,종로5가,127.00354,37.57062
1111016400,종로6가,127.00769,37.57194
1111016500,이화동,127.00563,37.57724
1111016600,연건동,126.99969,37.5787
1111016700,충신동,127.00596,37.57496
1111016800,동숭동,127.00489,37.58141
1111016900,혜화동,127.00176,37.5879
1111017000,명륜1가,126.99749,37.58911
1111017100,명륜2가,126.99904,37.5847
1111017200,명륜4가,126.99988,37.58223
1111017300,명륜3가,126.99315,37.58822
1111017400,창신동,127.01246,37.57543
1111017500,숭인동,127.01896,37.57556
1111017600,교남동,126.96447,37.56855
1111017700,평동,126.96686,37.56792
1111017800,송월동,126.96522,37.57008
1111017900,홍파동,126.96398,37.57115
1111018000,교북동,126.96146,37.57154
1111018100,행촌동,126.96263,37.57368
1111018200,구기동,126.95928,37.61939
1111018300,평창동,126.97451,37.61303
1111018400,부암동,126.9656,37.59477
1111018500,홍지동,126.95658,37.60082
1111018600,신영동,126.96184,37.60252
1111018700,무악동,126.95858,37.57711
1114010100,무교동,126.97901,37.56816
1114010200,다동,126.98119,37.56791
1114010300,태평로1가,126.97728,37.5677
1114010400,을지로1가,126.98059,37.56599
1114010500,을지로2가,126.98593,37.56588
1114010600,남대문로1가,126.98286,37.56758
1114010700,삼각동,126.98424,37.5681
1114010800,수하동,126.98464,37.56728
1114010900,장교동,126.98699,37.56745
1114011000,수표동,126.98952,37.56747
1114011100,소공동,126.98009,37.56407
1114011200,남창동,126.97762,37.55808
1114011300,북창동,126.9782,37.56245
1114011400,태평로2가,126.97639,37.56301
1114011500,남대문로2가,126.98212,37.56395
1114011600,남대문로3가,126.97959,37.5617
1114011700,남대문로4가,126.97564,37.56061
1114011800,남대문로5가,126.97531,37.5561
1114011900,봉래동1가,126.97277,37.5591
1114012000,봉래동2가,126.97099,37.55656
1114012100,회현동1가,126.98151,37.55651
1114012200,회현동2가,126.98293,37.55876
1114012300,회현동3가,126.98408,37.56017
1114012400,충무로1가,126.98252,37.56117
1114012500,충무로2가,126.98781,37.56172
1114012600,명동1가,126.98466,37.5643
1114012700,명동2가,126.98529,37.56289
1114012800,남산동1가,126.9846,37.55935
1114012900,남산동2가,126.98585,37.55866
1114013000,남산동3가,126.98745,37.56017
1114013100,저동1가,126.9878,37.56443
1114013200,충무로4가,126.99585,37.56233
1114013300,충무로5가,126.99965,37.56285
1114013400,인현동2가,126.99617,37.56422
1114013500,예관동,126.99822,37.56423
1114013600,묵정동,127.00056,37.56135
1114013700,필동1가,126.99247,37.56109
1114013800,필동2가,126.99472,37.55877
1114013900,필동3가,126.99702,37.55851
1114014000,남학동,126.99083,37.56058
1114014100,주자동,126.9894,37.56066
1114014200,예장동,126.99012,37.55523
1114014300,장충동1가,127.00758,37.56098
1114014400,장충동2가,127.00059,37.555
1114014500,광희동1가,127.00533,37.56502
1114014600,광희동2가,127.00843,37.56395
1114014700,쌍림동,127.00424,37.56353
1114014800,을지로6가,127.00688,37.56778
1114014900,을지로7가,127.00962,37.56629
1114015000,을지로4가,126.99776,37.56644
1114015100,을지로5가,127.00236,37.56672
1114015200,주교동,126.99938,37.56827
1114015300,방산동,127.00298,37.56873
1114015400,오장동,127.00081,37.56472
1114015500,을지로3가,126.99221,37.56633
1114015600,입정동,126.99292,37.56782
1114015700,산림동,126.99594,37.56768
1114015800,충무로3가,126.99175,37.56239
1114015900,초동,126.99222,37.56443
1114016000,인현동1가,126.99431,37.56458
1114016100,저동2가,126.98979,37.56424
1114016200,신당동,127.01367,37.55791
1114016300,흥인동,127.01638,37.56731
1114016400,무학동,127.01529,37.56437
1114016500,황학동,127.02084,37.56855
1114016600,서소문동,126.97393,37.56317
1114016700,정동,126.97315,37.56661
1114016800,순화동,126.97071,37.56257
1114016900,의주로1가,126.96811,37.56475
1114017000,충정로1가,126.96826,37.5665
1114017100,중림동,126.96634,37.55884
1114017200,의주로2가,126.96962,37.56074
1114017300,만리동1가,126.96731,37.55616
1114017400,만리동2가,126.96396,37.55463
1117010100,후암동,126.98062,37.5499
1117010200,용산동2가,126.98503,37.5429
1117010300,용산동4가,126.98518,37.53054
1117010400,갈월동,126.97236,37.5454
1117010500,남영동,126.97336,37.54286
1117010600,용산동1가,126.97703,37.54001
1117010700,동자동,126.97243,37.55207
1117010800,서계동,126.9668,37.55217
1117010900,청파동1가,126.96747,37.54879
1117011000,청파동2가,126.96624,37.54601
1117011100,청파동3가,126.96696,37.54325
1117011200,원효로1가,126.96745,37.53998
1117011300,원효로2가,126.96334,37.5363
1117011400,신창동,126.95498,37.53577
1117011500,산천동,126.95143,37.53548
1117011600,청암동,126.94667,37.5345
1117011700,원효로3가,126.95765,37.5343
1117011800,원효로4가,126.95073,37.53255
1117011900,효창동,126.96088,37.54278
1117012000,도원동,126.95594,37.53866
1117012100,용문동,126.95969,37.53765
1117012200,문배동,126.96942,37.53711
1117012300,신계동,126.96577,37.53518
1117012400,한강로1가,126.97302,37.53608
1117012500,한강로2가,126.9686,37.53154
1117012600,용산동3가,126.97694,37.53186
1117012700,용산동5가,126.97457,37.52615
1117012800,한강로3가,126.9622,37.52766
1117012900,이촌동,126.96654,37.51745
1117013000,이태원동,126.99252,37.53851
1117013100,한남동,127.00522,37.53752
1117013200,동빙고동,126.99515,37.52446
1117013300,서빙고동,126.99131,37.51862
1117013400,주성동,126.99982,37.5213
1117013500,용산동6가,126.98482,37.51865
1117013600,보광동,127.00092,37.52687
1120010100,상왕십리동,127.02481,37.56846
1120010200,하왕십리동,127.02801,37.56398
1120010300,홍익동,127.03228,37.56651
1120010400,도선동,127.03355,37.56381
1120010500,마장동,127.04074,37.56736
1120010600,사근동,127.04761,37.55891
1120010700,행당동,127.03597,37.55766
1120010800,응봉동,127.03391,37.55093
1120010900,금호동1가,127.02499,37.55358
1120011000,금호동2가,127.02043,37.55304
1120011100,금호동3가,127.01959,37.5499
1120011200,금호동4가,127.0243,37.54547
1120011300,옥수동,127.02058,37.54092
1120011400,성수동1가,127.04283,37.54361
1120011500,성수동2가,127.05665,37.54069
1120011800,송정동,127.06208,37.55318
1120012200,용답동,127.05636,37.56147
1121510100,중곡동,127.08883,37.56354
1121510200,능동,127.08174,37.55058
1121510300,구의동,127.09297,37.54441
1121510400,광장동,127.10475,37.54786
1121510500,자양동,127.07453,37.5317
1121510700,화양동,127.07341,37.54325
1121510900,군자동,127.07367,37.55303
1123010100,신설동,127.02555,37.57495
1123010200,용두동,127.03429,37.57572
1123010300,제기동,127.03724,37.58377
1123010400,전농동,127.0557,37.57975
1123010500,답십리동,127.0567,37.57102
1123010600,장안동,127.07003,37.57021
1123010700,청량리동,127.04528,37.58881
1123010800,회기동,127.05146,37.59374
1123010900,휘경동,127.06453,37.58821
1123011000,이문동,127.06325,37.59946
1126010100,면목동,127.08923,37.58238
1126010200,상봉동,127.08711,37.59847
1126010300,중화동,127.07814,37.60051
1126010400,묵동,127.0798,37.61273
1126010500,망우동,127.10632,37.5996
1126010600,신내동,127.10082,37.6126
1129010100,성북동,126.99291,37.59726
1129010200,성북동1가,127.00374,37.58954
1129010300,돈암동,127.01828,37.5978
1129010400,동소문동1가,127.00728,37.59003
1129010500,동소문동2가,127.00826,37.58872
1129010600,동소문동3가,127.01125,37.59039
1129010700,동소문동4가,127.01066,37.59176
1129010800,동소문동5가,127.01539,37.59164
1129010900,동소문동6가,127.01426,37.59353
1129011000,동소문동7가,127.0142,37.59633
1129011100,삼선동1가,127.0079,37.58492
1129011200,삼선동2가,127.01138,37.58388
1129011300,삼선동3가,127.01307,37.58654
1129011400,삼선동4가,127.01317,37.59002
1129011500,삼선동5가,127.01588,37.58854
1129011600,동선동1가,127.01824,37.59231
1129011700,동선동2가,127.02002,37.59018
1129011800,동선동3가,127.02068,37.59393
1129011900,동선동4가,127.01862,37.5952
1129012000,동선동5가,127.01667,37.59629
1129012100,안암동1가,127.02211,37.58871
1129012200,안암동2가,127.02319,37.5869
1129012300,안암동3가,127.02334,37.58355
1129012400,안암동4가,127.02467,37.58069
1129012500,안암동5가,127.02839,37.58846
1129012600,보문동4가,127.02137,37.58291
1129012700,보문동5가,127.02008,37.5824
1129012800,보문동6가,127.01887,37.58041
1129012900,보문동7가,127.02238,37.57977
1129013000,보문동1가,127.01967,37.5865
1129013100,보문동2가,127.01823,37.58576
1129013200,보문동3가,127.01637,37.58397
1129013300,정릉동,126.99767,37.61559
1129013400,길음동,127.02214,37.60859
1129013500,종암동,127.0339,37.59718
1129013600,하월곡동,127.03937,37.60467
1129013700,상월곡동,127.04777,37.60618
1129013800,장위동,127.04991,37.61521
1129013900,석관동,127.06154,37.60827
1130510100,미아동,127.02388,37.6211
1130510200,번동,127.03676,37.62903
1130510300,수유동,127.00737,37.63833
1130510400,우이동,127.00053,37.66328
1132010500,쌍문동,127.0271,37.65336
1132010600,방학동,127.03105,37.66529
